Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:25:43:49.684,61,0.0000000000,0.3619050086,0.1320803761,0.0000000000,0.0000000000,0.0923891142,0.4511986673,0.0000000000,0.3628761768,0.0000000000,0.0125712790,0.0000000000,0.0923886821,0.4511988461,0.1173345223,0.0000000000,0.0746995807,0.0868494138,0.0148789752,0.0209047664,0.0125096338,0.0000000000,0.0142111005,0.9527589083,0.9562316537,0.0000000000,0.0000000000,0.1645040512,0.1714353561,0.2568169832,0.2629579306,0.0413929299,0.0063768472,0.1266701669,0.1235573962,0.1165399849,0.1228708401,0.8392952085,0.8451817632,0.5575140119,0.5652257204,0.0746176615,0.0746242851,0.0777325854,0.0000000000,0.0000000000,0.0182829052,0.3985032141,0.4284864962,0.3570035994,0.3629879653,0.0000000016,0.0600658059,-0.0184909999,-0.0182084627,0.0074914549,0.2216747850,0.0016883963,0.0787155628,0.2217733711,0.0177287776
11:25:43:50.685,61,0.0000000000,0.3485453427,0.1543096900,0.0000000000,0.0000000000,0.0858489275,0.4231548309,0.0000000000,0.3498146832,0.0000000000,0.0350130536,0.0000000000,0.0858479738,0.4231566191,0.1006879136,0.0000000000,0.0716051161,0.0814155042,0.0150523726,0.0212638900,0.0126737924,0.0000000000,0.0139371660,0.9305377007,0.9345898628,0.0000000000,0.0000000000,0.1440796852,0.1497313529,0.2152889818,0.2215991318,0.0411014184,0.0064758528,0.1178012788,0.1087683439,0.1035049409,0.1066232473,0.7994384766,0.8022940159,0.4921192527,0.4940600991,0.0748615637,0.0748690963,0.0737259164,0.0000000000,0.0000000000,0.0179733615,0.3556093574,0.3749206960,0.3460106254,0.3577763140,0.0000000012,0.0671741664,-0.0180679820,-0.0238566343,0.0209017135,0.2137370706,0.0045364057,0.0921278149,0.2138350606,0.0199750718
11:25:43:51.687,61,0.0000000000,0.3323995471,0.1663534194,0.0000000000,0.0000000000,0.0781721994,0.3760224879,0.0000000000,0.3337799907,0.0000000000,0.0475496463,0.0000000000,0.0781716034,0.3760239780,0.0832730234,0.0000000000,0.0643230379,0.0748322308,0.0154920900,0.0230048839,0.0130483918,0.0000000000,0.0134577006,0.8630182147,0.8678618670,0.0000000000,0.0000000000,0.1037284359,0.1083914936,0.1945205033,0.2015141249,0.0409242325,0.0066718822,0.1148444563,0.1036500335,0.0884695426,0.0899305269,0.7127609253,0.7145277262,0.4162784219,0.4187718928,0.0707091913,0.0707134455,0.0712090805,0.0000000000,0.0000000000,0.0175815001,0.2826561928,0.3011714220,0.3355286717,0.3542592824,0.0000000004,0.0742533952,-0.0176225994,-0.0267121885,0.0284445789,0.2039783001,0.0058830474,0.0995248333,0.2040753514,0.0205604155
11:25:43:52.688,61,0.0000000000,0.3150946796,0.1750692427,0.0000000000,0.0000000000,0.0694407523,0.3269678950,0.0000000000,0.3165190518,0.0000000000,0.0564752668,0.0000000000,0.0694436282,0.3269717097,0.0564879216,0.0000000000,0.0487806052,0.0666001737,0.0168914348,0.0341592953,0.0136265010,0.0000000000,0.0123722171,0.7290195227,0.7379599810,0.0000000000,0.0000000000,0.0821541697,0.0872816890,0.1516540349,0.1608517319,0.0410328172,0.0070098350,0.1137026548,0.1010681540,0.0727372989,0.0724402890,0.5405451059,0.5428996086,0.3275388181,0.3332751095,0.0692707226,0.0692736208,0.0697249621,0.0000000000,0.0000000000,0.0171504337,0.2291935533,0.2476364374,0.3293591440,0.3526349664,0.0000000003,0.0884275138,-0.0083794724,-0.0300966445,0.0338556804,0.1934627593,0.0066314070,0.1049614251,0.1935590208,0.0205331650
11:25:43:53.690,61,0.0000000000,0.3067331612,0.1793133616,0.0000000000,0.0000000000,0.0602722913,0.2900269032,0.0000000000,0.3081749976,0.0000000000,0.0607179180,0.0000000000,0.0602773353,0.2900426388,0.0416363068,0.0000000000,0.0377227701,0.0537954830,0.0281790737,0.0432385392,0.0160717852,0.0000000000,0.0106703173,0.5968200564,0.6067184806,0.0000000000,0.0000000000,0.0716008469,0.0761195868,0.1387747973,0.1484670490,0.0414471440,0.0074681249,0.1153195798,0.0994070768,0.0614570342,0.0606389455,0.3447283506,0.3420775235,0.2080906779,0.2126943320,0.0594908148,0.0594529882,0.0688626692,0.0000000000,0.0000000000,0.0168114938,0.1672151983,0.1797349304,0.2664867640,0.2928678095,0.0000000003,0.0884275138,-0.0083794724,-0.0300966445,0.0364348814,0.1883799434,0.0069443113,0.1076115966,0.1884758770,0.0204833578
11:25:43:54.692,61,0.0000000000,0.2924740911,0.1873840541,0.0000000000,0.0000000000,0.0529600494,0.2558689117,0.0000000000,0.2939483225,0.0000000000,0.0689387023,0.0000000000,0.0529679917,0.2558881044,0.0313623957,0.0000000000,0.0195258781,0.0450898297,0.0403875336,0.0465304218,0.0216101203,0.0000000000,0.0094202021,0.4966548085,0.5137581229,0.0000000000,0.0000000000,0.0661408305,0.0705042630,0.1328213662,0.1423497051,0.0428849198,0.0079778349,0.1257090718,0.0982990786,0.0550955981,0.0543170869,0.1746638268,0.1683711261,0.1112566441,0.1158663034,0.0557943173,0.0557362139,0.0681344122,0.0000000000,0.0000000000,0.0165336374,0.1414163709,0.1551080197,0.2365796715,0.2678070366,0.0000000016,0.0946038067,-0.0027957489,-0.0301897358,0.0414347835,0.1797187626,0.0075255344,0.1126365587,0.1798140109,0.0204286743
11:25:43:55.693,61,0.0000000000,0.2844286561,0.1950345635,0.0000000000,0.0000000000,0.0463195033,0.2263686061,0.0000000000,0.2859569788,0.0000000000,0.0764195472,0.0000000000,0.0463290587,0.2264207453,0.0252821632,0.0000000000,0.0114917653,0.0406420268,0.0443137698,0.0460928641,0.0304514915,0.0000000000,0.0086778495,0.3738668263,0.3900500536,0.0000000000,0.0000000000,0.0629923269,0.0673042312,0.1279147565,0.1374698132,0.0440691859,0.0085115228,0.1330352277,0.0974263251,0.0519091077,0.0510562174,0.0922486633,0.0878326893,0.0698103532,0.0720198452,0.0484073013,0.0481948890,0.0676256716,0.0000000000,0.0000000000,0.0164697748,0.1087474003,0.1225911006,0.2195231766,0.2501323819,0.0000000130,0.1013296768,0.0024543339,-0.0299677253,0.0459711328,0.1748678535,0.0081187887,0.1173377037,0.1749629676,0.0206913184
11:25:43:56.695,61,0.0000000000,0.2776076794,0.2011175454,0.0000000000,0.0000000000,0.0419397280,0.1961697042,0.0000000000,0.2791720033,0.0000000000,0.0824889839,0.0000000000,0.0419497639,0.1962318867,0.0216765441,0.0000000000,0.0068818075,0.0359408446,0.0443529114,0.0428414680,0.0360867269,0.0000000000,0.0078814719,0.3024569750,0.3167629540,0.0000000000,0.0000000000,0.0605329722,0.0645983145,0.1198329255,0.1272218972,0.0446630791,0.0089229187,0.1468172222,0.0974257812,0.0502541997,0.0493557528,0.0552848838,0.0510459542,0.0498341061,0.0513768904,0.0374685191,0.0371154360,0.0671984777,0.0000000000,0.0000000000,0.0166117437,0.0931879431,0.1043766961,0.1955280602,0.2178414911,0.0000000290,0.1064112782,0.0064832834,-0.0295466017,0.0496580899,0.1707490087,0.0085587185,0.1210846975,0.1708439440,0.0208362062
11:25:43:57.696,61,0.0000000000,0.2713651955,0.2049687356,0.0000000000,0.0000000000,0.0388337635,0.1649709344,0.0000000000,0.2729391754,0.0000000000,0.0862895995,0.0000000000,0.0388439596,0.1650474668,0.0192294009,0.0000000000,0.0030583984,0.0312195290,0.0395656154,0.0384881683,0.0387003198,0.0000000000,0.0070531201,0.2410896719,0.2636204362,0.0000000000,0.0000000000,0.0520610511,0.0551033132,0.0982439071,0.1003851071,0.0446261950,0.0091940025,0.1510660648,0.0974410549,0.0492597297,0.0483433120,0.0363946483,0.0323040299,0.0394567773,0.0406622626,0.0288968161,0.0285959113,0.0659618527,0.0000000000,0.0000000000,0.0169048794,0.0823268965,0.0915962383,0.1738209724,0.1970442683,0.0000000756,0.1104778647,0.0095254192,-0.0290105678,0.0519796982,0.1669566631,0.0087557342,0.1234830767,0.1670513749,0.0207662061
11:25:43:58.698,61,0.0000000000,0.2665770352,0.2083857656,0.0000000000,0.0000000000,0.0365011841,0.1462311596,0.0000000000,0.2681630850,0.0000000000,0.0895897225,0.0000000000,0.0365112573,0.1463147551,0.0175945722,0.0001832908,0.0000000000,0.0276520457,0.0346711017,0.0347490124,0.0403176285,0.0000000000,0.0062238905,0.1964072138,0.2185462415,0.0000000000,0.0000000000,0.0445399024,0.0469320565,0.0850392729,0.0863536149,0.0439524390,0.0093716113,0.1525498927,0.0973430276,0.0486364402,0.0477264784,0.0268755034,0.0229305550,0.0340175517,0.0350598693,0.0207551830,0.0205009226,0.0639985502,0.0000000000,0.0000000000,0.0173225850,0.0732975826,0.0809803680,0.1558036208,0.1772889793,0.0000001136,0.1136538684,0.0110888658,-0.0280027930,0.0539938994,0.1640527695,0.0089335972,0.1256025583,0.1641473770,0.0207468849
11:25:43:59.700,61,0.0000000000,0.2553625405,0.2122557759,0.0000000000,0.0000000000,0.0347010717,0.1157453358,0.0000000000,0.2569224536,0.0000000000,0.0934535488,0.0000000000,0.0347104520,0.1158205643,0.0164012183,0.0021223705,0.0000000000,0.0250944085,0.0307591949,0.0315937921,0.0413764231,0.0000000000,0.0055117183,0.1448681206,0.1726641953,0.0000000000,0.0000000000,0.0382991135,0.0404083394,0.0737359822,0.0750330091,0.0413629748,0.0094863456,0.1441688836,0.0967138261,0.0480707660,0.0471697189,0.0221158564,0.0183313601,0.0309529305,0.0319335386,0.0144803561,0.0141919870,0.0613765903,0.0000000000,0.0000000000,0.0177198127,0.0651503503,0.0708196014,0.1355432570,0.1546619982,0.0000001222,0.1155237108,0.0129584968,-0.0274820160,0.0563851483,0.1571969092,0.0089323353,0.1280766129,0.1572910249,0.0202548392
11:25:44:00.701,61,0.0000000000,0.2520525157,0.2125824690,0.0000000000,0.0000000000,0.0333264917,0.0926996544,0.0000000000,0.2535949051,0.0000000000,0.0937691703,0.0000000000,0.0333352946,0.0927467495,0.0154500287,0.0037743577,0.0000000000,0.0231592823,0.0278062336,0.0292517934,0.0420739688,0.0000000000,0.0048592263,0.1219361052,0.1518681496,0.0000000000,0.0000000000,0.0339540914,0.0358704627,0.0674155429,0.0683602169,0.0387652032,0.0095347892,0.1396069825,0.0960860401,0.0475583635,0.0466808714,0.0197951403,0.0161796026,0.0291608181,0.0301359463,0.0093911514,0.0090557449,0.0589483082,0.0000000000,0.0000000000,0.0181124732,0.0598265119,0.0648110881,0.1255790740,0.1441388428,0.0000001087,0.1171901152,0.0136915101,-0.0266451947,0.0565936677,0.1551627517,0.0088474294,0.1283144802,0.1552567333,0.0200255699
11:25:44:01.703,61,0.0000000000,0.2528879941,0.2126970738,0.0000000000,0.0000000000,0.0322743282,0.0798806176,0.0000000000,0.2544367015,0.0000000000,0.0939326286,0.0000000000,0.0322826244,0.0799138844,0.0146545526,0.0049980683,0.0000000000,0.0217784904,0.0258365422,0.0277111400,0.0426019207,0.0000000000,0.0042775078,0.1110374480,0.1418669373,0.0000000000,0.0000000000,0.0314343087,0.0332728103,0.0641575456,0.0649954975,0.0371598788,0.0095383534,0.1376322508,0.0956784785,0.0471201688,0.0462731197,0.0187932644,0.0153414914,0.0281553604,0.0291555952,0.0051885284,0.0047966894,0.0574947931,0.0000000000,0.0000000000,0.0184773393,0.0571752600,0.0618236400,0.1208738536,0.1391509175,0.0000000632,0.1181969047,0.0139218336,-0.0257941484,0.0566877574,0.1556786597,0.0088920677,0.1283734143,0.1557726115,0.0201023519
11:25:44:02.704,61,0.0000000000,0.2551107705,0.2125145793,0.0000000000,0.0000000000,0.0313725881,0.0734858885,0.0000000000,0.2566721737,0.0000000000,0.0936838239,0.0000000000,0.0313806124,0.0735132992,0.0139532723,0.0060826801,0.0000000000,0.0205449797,0.0241144709,0.0263015907,0.0429907776,0.0000000000,0.0038048816,0.1047330052,0.1363050044,0.0000000000,0.0000000000,0.0299053397,0.0317002200,0.0622384064,0.0630061626,0.0358549356,0.0094859442,0.1368609816,0.0957166702,0.0468062684,0.0460025184,0.0183856729,0.0151043935,0.0275306720,0.0285748728,0.0028324192,0.0024247793,0.0559102669,0.0000000000,0.0000000000,0.0187914427,0.0548297986,0.0595074110,0.1182092801,0.1363687664,0.0000000288,0.1188685670,0.0146662407,-0.0246273316,0.0565254316,0.1570450068,0.0089457398,0.1282358915,0.1571391672,0.0202599820
11:25:44:03.706,61,0.0000000000,0.2578825057,0.2103738338,0.0000000000,0.0000000000,0.0305795949,0.0699002743,0.0000000000,0.2594377398,0.0000000000,0.0914863870,0.0000000000,0.0305874459,0.0699247569,0.0133428695,0.0070817606,0.0000000000,0.0196013581,0.0229736026,0.0253190752,0.0433349572,0.0000000000,0.0033967730,0.1011079624,0.1331497282,0.0000000000,0.0000000000,0.0288539063,0.0306267049,0.0612863190,0.0619997270,0.0349087790,0.0094083929,0.1368502378,0.0960341990,0.0465618260,0.0458112955,0.0183573831,0.0152392499,0.0271840449,0.0282852985,0.0011497233,0.0007365374,0.0549008660,0.0000000000,0.0000000000,0.0190713555,0.0534622036,0.0581641234,0.1168595403,0.1350059360,0.0000000214,0.1189405620,0.0147079118,-0.0214794055,0.0551847890,0.1587251723,0.0088288113,0.1269101650,0.1588194817,0.0202697013
11:25:44:04.708,61,0.0000000000,0.2581729889,0.2091628462,0.0000000000,0.0000000000,0.0298696067,0.0676991716,0.0000000000,0.2597164214,0.0000000000,0.0902488157,0.0000000000,0.0298773292,0.0677229390,0.0128214890,0.0079694781,0.0000000000,0.0188176073,0.0220994558,0.0245295949,0.0434924737,0.0000000000,0.0029777894,0.0988784060,0.1311383098,0.0000000000,0.0000000000,0.0280797444,0.0298398770,0.0611863472,0.0618422441,0.0342092291,0.0093285833,0.1372118592,0.0964722484,0.0462912098,0.0456027389,0.0185855925,0.0156126609,0.0270092245,0.0281673465,0.0001385128,0.0000000000,0.0540825538,0.0000000000,0.0002726736,0.0192434527,0.0525633395,0.0573267229,0.1163904592,0.1345629245,0.0000000494,0.1177509204,0.0160554722,-0.0169839915,0.0544368140,0.1588891149,0.0087184170,0.1261761189,0.1589833945,0.0201742705
11:25:44:05.709,61,0.0000000000,0.2580100298,0.2073676288,0.0000000000,0.0000000000,0.0291859359,0.0668150485,0.0000000000,0.2595321536,0.0000000000,0.0884263143,0.0000000000,0.0291935317,0.0668387115,0.0123679843,0.0087162722,0.0000000000,0.0181326438,0.0213813595,0.0238909330,0.0436310172,0.0000000000,0.0025715798,0.0974797606,0.1294287443,0.0000000000,0.0000000000,0.0275080577,0.0292594396,0.0616857782,0.0623628534,0.0336610861,0.0092399009,0.1398329139,0.0972278416,0.0460997894,0.0454653054,0.0189460311,0.0161066633,0.0269650090,0.0281650592,0.0000000000,0.0000000000,0.0535788834,0.0010873191,0.0015020426,0.0194255393,0.0518945195,0.0567373373,0.1163703352,0.1345441341,0.0000000893,0.1155855358,0.0191829503,-0.0105154114,0.0533384904,0.1587668806,0.0085360091,0.1250953078,0.1588611603,0.0199867748
11:25:44:06.711,61,0.0000000000,0.2565887570,0.2060220838,0.0000000000,0.0000000000,0.0285758562,0.0680353045,0.0000000000,0.2580867708,0.0000000000,0.0870778933,0.0000000000,0.0285833050,0.0680639297,0.0119932797,0.0093190493,0.0000000000,0.0175227951,0.0207612291,0.0233391132,0.0436783433,0.0000000000,0.0022298282,0.0911123306,0.1174332201,0.0000000000,0.0000000000,0.0269986354,0.0287448410,0.0629880801,0.0641297176,0.0332965665,0.0091357669,0.1483834088,0.1019098088,0.0460131429,0.0454159901,0.0193348918,0.0166235082,0.0270304978,0.0282500964,0.0000000000,0.0000000000,0.0532994531,0.0024931552,0.0029562721,0.0196056981,0.0514241643,0.0563336946,0.1166307256,0.1347554922,0.0000000922,0.1122205555,0.0218199734,-0.0030604347,0.0525325462,0.1578758657,0.0083591808,0.1243008897,0.1579701006,0.0197472870
